N,scenario,hashmap_put_mean_ms,hashmap_put_std_ms,hashmap_get_mean_ms,hashmap_get_std_ms,hashmap_mostly_get_mean_ms,hashmap_mostly_get_std_ms,hashmap_balanced_mean_ms,hashmap_balanced_std_ms,naive_lru_put_mean_ms,naive_lru_put_std_ms,naive_lru_get_mean_ms,naive_lru_get_std_ms,naive_lru_mostly_get_mean_ms,naive_lru_mostly_get_std_ms,naive_lru_balanced_mean_ms,naive_lru_balanced_std_ms,lru_put_mean_ms,lru_put_std_ms,lru_get_mean_ms,lru_get_std_ms,lru_mostly_get_mean_ms,lru_mostly_get_std_ms,lru_balanced_mean_ms,lru_balanced_std_ms,linked_put_mean_ms,linked_put_std_ms,linked_get_mean_ms,linked_get_std_ms,linked_mostly_get_mean_ms,linked_mostly_get_std_ms,linked_balanced_mean_ms,linked_balanced_std_ms,hashmap_memory_mb,naive_lru_memory_mb,lru_memory_mb,linked_memory_mb
1000,full,0.006295,0.000068,0.004309,0.000102,0.006992,0.000252,0.012262,0.000425,0.016150,0.000907,0.019274,0.001291,0.005579,0.000282,0.009989,0.000414,0.018726,0.000476,0.002677,0.000138,0.008357,0.000815,0.009938,0.000177,0.027984,0.003534,0.002471,0.000029,0.004192,0.000337,0.014436,0.000600,2.2461,2.2461,2.2461,2.2461
1000,high_locality,0.005193,0.000038,0.004366,0.000345,0.005226,0.000289,0.006041,0.000701,0.006157,0.000132,0.019346,0.000069,0.005036,0.000067,0.014169,0.000140,0.007171,0.000320,0.003684,0.000041,0.002883,0.000229,0.003881,0.000288,0.007001,0.000148,0.004016,0.000026,0.001944,0.000120,0.003852,0.000584,2.2461,2.2461,2.2461,2.2461
1000,eviction,0.006365,0.000072,0.004319,0.000069,0.006967,0.000118,0.017760,0.012226,0.035490,0.001861,0.005720,0.000034,0.007373,0.002655,0.023726,0.002409,0.016169,0.000956,0.002263,0.000703,0.004825,0.000183,0.011291,0.004817,0.019357,0.001541,0.002164,0.000800,0.005155,0.000853,0.009589,0.000577,2.3594,2.3594,2.3594,2.3594
10000,full,0.063061,0.003170,0.043317,0.001992,0.084998,0.010566,0.104939,0.004415,0.219002,0.011274,0.210692,0.014614,0.076462,0.002299,0.148551,0.012532,0.249792,0.049803,0.031228,0.000486,0.040320,0.000839,0.118234,0.002278,0.236938,0.001434,0.031083,0.000401,0.055202,0.010141,0.130974,0.004106,4.1445,4.1445,4.1445,4.1445
10000,high_locality,0.053606,0.003746,0.041776,0.000142,0.054802,0.002472,0.055913,0.000649,0.055441,0.001721,0.193946,0.009869,0.046451,0.001237,0.142050,0.011376,0.069393,0.001526,0.028573,0.001225,0.022304,0.000919,0.036285,0.003532,0.070891,0.007432,0.027272,0.000686,0.025112,0.003985,0.040335,0.004017,3.3633,3.3633,3.3633,3.3633
10000,eviction,0.063591,0.000426,0.044097,0.002116,0.073284,0.002069,0.103138,0.000915,0.338239,0.010555,0.067831,0.002618,0.058572,0.001492,0.181921,0.005137,0.168828,0.016285,0.015650,0.000588,0.037075,0.001104,0.086549,0.005261,0.125173,0.011095,0.014386,0.000188,0.053920,0.003332,0.076684,0.005551,2.3984,2.3984,2.3984,2.3984
100000,full,0.752109,0.011711,0.605916,0.051724,0.745659,0.010962,1.131874,0.167435,1.957223,0.092405,4.700293,0.738698,0.632100,0.022492,1.220635,0.044221,3.060524,0.193814,0.532228,0.016122,0.413335,0.015265,1.490466,0.081688,2.617272,0.157170,0.460434,0.012032,0.506317,0.017917,1.341485,0.033789,21.7305,21.7305,21.7305,21.7305
100000,high_locality,0.636372,0.056254,0.498905,0.016938,0.513443,0.004132,0.563846,0.019717,0.590534,0.026442,2.110236,0.120096,0.454567,0.010201,1.490299,0.082174,0.748553,0.062372,0.331917,0.034840,0.181473,0.007006,0.384317,0.021067,0.657947,0.063082,0.321756,0.007676,0.196086,0.007988,0.389568,0.015191,13.3867,13.3867,13.3867,13.3867
100000,eviction,0.744341,0.044587,0.602659,0.047748,0.717565,0.025118,1.014217,0.053080,4.462328,0.091216,1.141033,0.037498,0.613780,0.011863,2.240345,0.065363,1.683995,0.018172,0.199057,0.002861,0.393061,0.008225,1.141217,0.029647,1.761612,0.097960,0.184761,0.002757,0.502430,0.015286,1.163626,0.032260,6.8086,6.8086,6.8086,6.8086
1000000,full,13.464351,0.325484,17.980927,0.447971,7.490985,0.081271,14.114166,0.104604,37.507208,0.279025,124.645985,2.511395,14.154289,0.412003,24.887016,0.234022,65.554304,4.043867,17.538505,0.234222,50.437361,0.879106,28.455095,1.101317,56.210120,4.841125,12.723545,0.293642,5.743852,0.229603,23.612477,1.738930,225.9453,226.0508,226.0508,247.6875
1000000,high_locality,15.026682,0.262741,14.257919,0.180476,5.696153,0.065659,7.370900,0.217995,7.283899,0.267065,32.687005,1.109101,5.396669,0.264219,20.086525,0.696239,10.213952,0.135828,5.043055,0.182567,2.130761,0.062734,5.354707,0.111309,7.800953,0.435239,4.577643,0.272957,2.595765,0.109818,4.936575,0.242020,118.1406,118.1406,118.1406,118.1406
1000000,eviction,13.067578,0.769797,18.921173,0.875518,7.940926,0.242596,14.710821,0.524745,50.133149,0.325084,13.026015,0.631578,7.292349,0.156833,35.620853,0.306086,24.887867,0.317075,3.583936,0.201660,5.142542,0.159094,14.159866,0.224043,21.614205,0.842535,3.731569,0.181863,5.500923,0.153739,12.452293,0.672458,82.3398,82.3398,82.3398,82.3398
